id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,I am on a keto diet - can you suggest a few meal plan type recipes?
5,I am lactose intolerant but love dairy - suggest a few recipes
6,I have to cook momos for my venezeluan mother in law, what is something i can do that is momo-ish but native to her?
7,Chai and Burritos - what can you do for me?
8,I want extremely good kadak and masala chai recipes.
9, Just go crazy with maximum 3 easyt ingredients.
10, Quick meal preps under 1 minute.
